"Source:","/Users/pbotte/Documents/git/zeitlos/hardware/waagen/waage_v4/elektronik/Untitled.kicad_sch"
"Date:","2023 August 14, Monday 14:37:43"
"Tool:","Eeschema 7.0.5-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","19"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","10u","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor","",""
"C2, C5, C6","3","100n","C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C3","1","330p","C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C4","1","1µ","C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor, small symbol","",""
"D1","1","LED","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Light emitting diode","",""
"J1","1","Conn_01x03","Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J2, J3","2","SM04B-SRSS-TB(LF)(SN)","SM04B-SRSS-TB(LF)(SN)","Quiicconnector:JST_SM04B-SRSS-TB(LF)(SN)","","",""
"J4, J5, J6, J7","4","Conn_01x03_Male","Conn_01x03_Pin","Connector_Wire:SolderWire-0.1sqmm_1x03_P3.6mm_D0.4mm_OD1mm_Relief","Generic connector, single row, 01x03, script generated","",""
"R1","1","180","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor","",""
"R2, R3","2","47","R_Small","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor, small symbol","",""
"U1","1","ATtiny1614-SS","ATtiny1614-SS","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","20MHz, 16kB Flash, 2kB SRAM, 256B EEPROM, SOIC-14","",""
"U2","1","NAU7802SGI","NAU7802SGI","NAU:NAU7802SGI","","",""
